N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
1,Services du Premier ministre,Autre,secrétaire générale,,,Oui,,Dès la 1ère semaine,4,,Très utile,Pas utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Très utile,Non,,insuffisance de la bande passante; lenteurs;,Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Oui,handicap; isolement;,Oui,fluidité des validations électroniques; visio conférence,,66DP-LXBD,28/04/2020 15:01:25,,28/04/2020 15:05:50,264.9405147,FR,Terminé,Direct,PC
2,Services du Premier ministre,Directeur.trice (centrale),,CIVEN,,Pas suffisamment,Manque de postes PC portables avec accès télétravail,Dès la 1ère semaine,5,"Ensemble du travail du CIVEN se fait par télétravail, y compris les séances avec les membres du Collège en audioconférence.",Très utile,Utile,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Très utile,Oui,"Travail sur l'application informatique du CIVEN et développement de cette dernière par le médecin-instructeur du CIVEN, possédant des compétences informatiques.",manque de postes informatiques télétravail pour les agents non dotés de PC portables.,Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Oui,Recours au télétravail et mise place d'audioconférence pour certaines réunions.,"La période de confinement, malgré le soutien du numérique et la poursuite de certaines activités du CIVEN (en particulier l'indemnisation des victimes des essais nucléaires qui a pu être maintenue), a néanmoins perturbé l'activité normale et empêché l'acceptation de nouvelles reconnaissances de victimes. En effet, cette activité ne peut se faire que sur site du fait de l'interdiction d'accès à distance de certains de nos serveurs par mesures de sécurité.",TNTW-XFV4,28/04/2020 15:06:54,,28/04/2020 15:18:24,690.3386518,FR,Terminé,Direct,PC
3,Services du Premier ministre,Autre,Secrétaire générale,Délégation interministérielle aux jeux Olympiques et Paralympiques 2024,,Oui,,Dès la 1ère semaine,5,Maintien de réunions de service hebdomadaires par audio conférences,Très utile,Pas utile,Inconnu,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Inconnu,Non utilisé,Très utile,Non,,Aucune difficulté,Oui,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Je ne sais pas encore,,Néant,AK5M-Y4WQ,28/04/2020 15:11:49,,28/04/2020 15:24:11,742.1204961,FR,Terminé,Direct,PC
4,Services du Premier ministre,Autre,Secrétaire général,Ecole nationale d'administration,,Oui,,Jamais,5,"En tant qu'établissement public administratif, et donc autonome concernant ses outils de gestion, l'ENA n'a pas été tenue informée de la mise à disposition d'outils ministériels ou interministériels.
Le plan de continuité de l'activité (PCA) a été signé par le Directeur le vendredi 13 mars 2020 et mis en ligne le jour même. Lundi 16 mars à 18h00, l'intégralité du personnel a quitté l'Ecole, dont plus de 80% du personnel administratif muni d'un PC portable muni du VPN (accès sécurisé aux systèmes d'information). Début avril, les services informatiques ont pris livraison des 20 PC commandés 15 jours avant la fermeture, en vue d'une probable limitation de la liberté de circulation. Les agents classés en P2 sur la liste de la fourniture des ordinateurs ont tous pu chercher un PC paramétré VPN.
L'Ecole a également développé son offre Webinaire avant la fermeture et multiplié les classes virtuelles.
Tous les services (tous les agents en fait) se sont vu adressés des fiches techniques d'utilisation des outils digitaux. Les plates-formes téléphoniques et de visioconférence de type professionnel (possibilité d'une visioconférence à plus de 10 participants) ont été mis en œuvre dès la première semaine de limitation de la liberté de circulation. Au total, les services de l'Ecole ont été opérationnels dès la semaine 12 / 2020.",Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Non,,"Les outils ne sont pas en cause, comme indiqué supra, tout avait été planifié et l'Ecole s'est avérée en ordre de marche dès le 17 mars 2020. Ce qui provoque (toujours) un problème, c'est le sentiment d'isolement (les visioconférences sont de plus en plus utilisées, au détriment des conférences téléphoniques). Les contacts de l'encadrement intermédiaire avec les agents sont donc essentiels, afin de maintenir le moral, de s'assurer que le travail est bien réparti et que les conditions forcément personnelles d'exercice des activités sont supportables. Une autre difficulté, inhérente à celle de l'isolement, est celle de la dilatation du cadre temporel et de la multiplication des sollicitations en-dehors des heures de travail. J'ai fait diffuser une note à tout le personnel, rappelant les termes de la charte du temps de travail, interne à l'Ecole.",Oui,Courriels / Lettre d'information;Site Web;Web ou audio conférences;Autre,"Le dialogue social. J'ai réuni les organisations syndicales en entretiens à distance. Un CHSCT a été convoqué pour le 4 mai, qui a donné lieu à une visioconférence, donnera lieu à la diffusion du projet de plan de retours à l'activité présentielle de l'Ecole (PRAP) et enfin d'une réunion préparatoire informelle le matin du CHSCT.",Oui,"Sans dévoiler de secret au plan médical : difficulté de concentration, phase ""pré dépressive"", problèmes de gestion des activités familiales et professionnelles. Nous allons effectuer un bilan à l'issue de la période de retour (progressive) à l'activité présentielle. Nombre d'agents se plaignent de l'absence de recours (ou du recours très limité aux appareils domestiques) à l'impression de certains documents, qui reste indispensable pour optimiser le travail. Enfin, un nombre important d'agents ne bénéficiaient pas du statut de télétravailleur. Ils ont donc, très souvent, dû se contenter de l'écran du PC portable, qui est fort réduit, et n'ont pas pu utiliser un deuxième, voire un troisième écran, indispensable pour nombre de tâches.",Oui,"Il est prévu dans le PRAP une période de maintien du télétravail avec un objectif cible global de 80% (soit quatre jours hebdomadaires de télétravail pour une quotité à temps plein). Avant la crise, l'objectif était d'atteindre un jour de télétravail hebdomadaire, pour certains agents, cette périodicité était de deux jours, pour une période limitée et reconductible.
Le nouvel objectif apparait dès à présent de deux jours hebdomadaires, avec une possibilité de trois jours, voire quatre jours à titre exceptionnel pour une durée limitée. Ces éléments ne sont pas encore formalisés, mais prennent tournure.","La mise en œuvre du ""tout numérique"" est un succès à l'aune de l'ENA.
Ce succès est dû à une politique d'équipement des agents déjà ancienne, ainsi que d'une formation aux usages numériques bien ancrée et une totale acculturation de la très grande majorité des agents.
Néanmoins, même si l'Ecole est passée sans transition du ""présentiel 90%"" au ""tout distanciel"", il s'avère à l'usage qu'un mode de travail en télétravail intensif nécessite un équipement adapté (grands écrans, les agents se plaignant à juste titre du ""format timbre-poste"" des PC portables ; un agent ne dispose pas d'une liaison WiFi lui permettant de travailler de manière efficace).
L'isolement, durant une période aussi longue, provoque également des troubles psychologiques, dont l'impact réel ne peut pas encore être apprécié. 
Il conviendra donc, une fois le risque sanitaire disparu, de reconsidérer l'optimum professionnel entre le présentiel, le distanciel, le travail en mode numérique exclusif et l'usage, qui demeure indispensable, des documents imprimés;",9R26-A7DM,28/04/2020 15:02:08,,28/04/2020 15:36:43,2075.4592252,FR,Terminé,Direct,PC
5,Services du Premier ministre,Directeur.trice (centrale),,Protection des droits affaires judiciaires au Defenseur des droits,,Oui,,Dès la 1ère semaine,4,Conference téléphonique hebdomadaire point téléphonique reguliers . Webcafes,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Pas utile,Très utile,Inconnu,Inconnu,Très utile,Très utile,Oui,Service informatique du Defenseur des droits,Bande passante insuffisante pour les visioconférences,Oui,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Oui,La difficulté de separer vie familiale vie privée mais compte tenu du confinement il est difficile de savoir exactement d'où proviennent les problèmes de certains agents,Je ne sais pas encore,,Rien,2X6X-XE4T,28/04/2020 15:48:46,,28/04/2020 15:59:45,659.6800506,FR,Terminé,Direct,Smartphone
6,Services du Premier ministre,Directeur.trice (centrale),,Secrétariat général Défenseur des droits,,Oui,,Dès la 1ère semaine,3,"​- Un workflow de validation  des courriers relatifs au traitement des réclamations pour remplacer les parapheurs
- l'adaptation de l'application métier pour créer une nouveau niveau de validation dématérialisée
- réunions téléphoniques
- animation par préparation écrite de réunions
-comptes rendus
-multiplication des échanges de mails
-tableau de suivi accessible à tous les agents",Très utile,Pas utile,Pas utile,Pas utile,Pas utile,Pas utile,Pas utile,Pas utile,Pas utile,Très utile,Très utile,Oui,"Evolution de l'application métier
augmentation de la capacité de la bande passante
Centre de documentation","​- lenteur de la bande passante
- difficultés avec visio conférence
-lourdeur de la validation dématérialisée vs validation papier ( sur de gros volumes quotidiens)",Non,Courriels / Lettre d'information;Web ou audio conférences,,Oui,pas de limite sur les délais et la commande directe en tout temps et à toute heure.,Oui,Toutes sauf la validation dématérialisée,Besoin d'augmenter les capacités,TB67-Q3YX,28/04/2020 16:09:21,,28/04/2020 16:18:39,558.1790374,FR,Terminé,Direct,PC
7,Services du Premier ministre,Autre,secrétaire générale,service d'information du Gouvernement,,Oui,,Dès la 1ère semaine,3,"mise en place du télétravail pour 90% des agents.
conférences téléphoniques quotidiennes",Très utile,Non utilisé,Non utilisé,Très utile,Utile,Utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Très utile,Non,,"mauvaise qualité de l'audioconférence au début de la crise
difficulté à organiser des réunions à distance avec beaucoup de collaborateurs peu habitués à ce type d'usages",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"contrairement à nos craintes, le fonctionnement en télétravail a globalement fonctionné. les agents et leurs managers ont joué le jeu ce qui a permis au SIG de continuer ses activités et de prendre pleinement part à la gestion de la communication de crise.
en revanche, les équipements mis à disposition pour le télétravail se sont avérés décevants : perte de connexions très fréquentes, écrans trop petits des ordinateurs pour permettre un confort de travail. cela a occasionné une certaine fatigue chez les agents.",GJEB-2LJ8,28/04/2020 16:19:25,,28/04/2020 16:26:42,436.3038771,FR,Terminé,Direct,PC
8,Services du Premier ministre,Directeur.trice (centrale),,SGPI,Île-de-France,Pas suffisamment,non équipement de tous les agents en équipements nomades,Dès la 1ère semaine,3,"Codir en ligne, 
bilatérales
dossier en ligne de stockage des parapheurs pour signature",Très utile,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Oui,"zoom, teams, le SPM n'ayant pas accès à ces outils pourtant très utiles.
Il faudrait prévoir un réseau parallèle non sécurisé pour permettre leur utilisation, d'autant que beaucoup de partenaires publics (Parlement, autres ministères, EP) ou privés organisent des réunions avec ces outils auxquels on ne peut avoir accès avec nos equipements pro. ceci suppose de pouvoir mobiliser des équipements personnels, ce qui n'est pas toujours le cas de nos collaborateurs.",cf supra,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,,W4D3-M3NM,28/04/2020 16:20:39,,28/04/2020 16:26:48,369.2993403,FR,Terminé,Direct,PC
9,Services du Premier ministre,Autre,DG adjoint,ANSSI,Île-de-France,Oui,,Dès la 1ère semaine,3,Réorganisation complete des modalities de travail. maintien du travail de fond non distancialisable par des equips ad hoc en présentiel.,Très utile,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Utile,Utile,Non utilisé,Non utilisé,Très utile,Non,,"Temps d'adaptation aux outils peu utilisés jusque là. Difficultés lies au fait de travailler à distance : 1. fatigue des visio ou audio conf car pb techniques, pas de langage gestuel donc plus d'attention demandée / 2. allongement des délais de toutes les interactions entre agents donc ralentissement du rythme habituel. Particulièrement sensible dans le processus des prises de decisions.",Oui,Courriels / Lettre d'information;Réseau social;Site Web,,Pas encore,,Oui,"Il faut probablement envisager un mode degrade ou semi permanent d'administration ""hors les murs"" car : 1. des crises comme cella du COVID19 vont sans doute se reproduire ; PCA, résilience ; 2. c'est une attente de la plupart des salaries désormais","Il y a urgence à équiper l'administration d'un système complet, souverain, base sur l'expérience utilisateur et sûr qui permettra la poursuite du travail à un niveau d'efficacité acceptable et supportable par les usagers.",59B4-K7L3,28/04/2020 16:13:51,,28/04/2020 16:27:11,799.9324236,FR,Terminé,Direct,PC
10,Services du Premier ministre,Sous-directeur.trice (centrale),,DSAF,,Oui,,Dès la 1ère semaine,3,"Organisation du travail à distance, soit par des outils de télétravail homologués, soit à défaut par recours aux outils informatiques personnels des agents. Chaque bureau a mis en place une boucle Whatsapp et des audio/visioconférences our maintenir le collectif de travail.",Très utile,Non utilisé,Inconnu,Utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Utile,Inconnu,Très utile,Non,,"La principale difficulté vient du fait que seule une partie des agents (environ 60%) avait pu être équipée de matériel de télétravail avant le début du confinement, ou a pu l'être en cours de période. Il en résulte de facto une scission entre les agents qui ont continué à pouvoir travailler et ceux qui, même en restant associés au collectif de travail, sont restés (souvent malgré eux) plus à l'écart de l'activité au quotidien.
Par ailleurs, si le télétravail reste évidemment un moindre mal compte tenu de la situation sanitaire, il induit néanmoins une certaine rigidité dans la circulation des informations par rapport à un travail en présentiel classique.",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,EJFP-CE47,28/04/2020 16:23:44,,28/04/2020 16:37:34,829.9667989,FR,Terminé,Direct,PC
