11. Messagerie du ministere;12. Messagerie autre (ex: gmail);13. Messagerie instantanee interministerielle (Tchap);14. Messagerie instantanee autre (ex: WhatsApp);15. Visio-conference du ministere;16. Viso-conference interministeriel (WebConf);17. Visio-conference autre (ex: Skype);18. Outils collaboratifs du ministere;19. Outils collaboratifs interministeriels (OSMOSE, PLANO, RESAN;20. Outils collaboratifs autres;21. Audio-conference telephonique
Tres utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Pas utile;Inconnu;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Inconnu;Non utilise;Tres utile
Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Pas utile;Tres utile;Inconnu;Inconnu;Tres utile;Tres utile
Tres utile;Pas utile;Pas utile;Pas utile;Pas utile;Pas utile;Pas utile;Pas utile;Pas utile;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Utile;Utile;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile
Tres utile;Non utilise;Utile;Non utilise;Non utilise;Utile;Utile;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Inconnu;Utile;Non utilise;Non utilise;Non utilise;Inconnu;Utile;Inconnu;Tres utile
Inconnu;Non utilise;Non utilise;Utile;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Utile;Tres utile;Tres utile;Tres utile;Inconnu;Non utilise;Tres utile;Tres utile
Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Utile;Utile;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Utile;Utile;Non utilise;Inconnu;Tres utile;Utile;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Utile;Tres utile;Utile;Non utilise;Non utilise;Tres utile
Utile;Non utilise;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Pas utile;Inconnu;Inconnu;Utile
Tres utile;Utile;Non utilise;Utile;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Pas utile;Pas utile;Pas utile;Tres utile;Pas utile;Pas utile;Pas utile;Pas utile;Pas utile;Tres utile
Tres utile;Utile;Inconnu;Utile;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Non utilise;Tres utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Pas utile;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Inconnu;Inconnu;Inconnu;Utile
Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Tres utile;Non utilise
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Pas utile;Pas utile;Utile;Non utilise;Inconnu;Non utilise;Non utilise
Tres utile;Tres utile;Pas utile;Tres utile;Inconnu;Pas utile;Tres utile;Non utilise;Inconnu;Inconnu;Utile
Tres utile;Non utilise;Utile;Tres utile;Non utilise;Non utilise;Tres utile;Utile;Non utilise;Inconnu;Tres utile
Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Inconnu;Tres utile;Non utilise
Tres utile;Tres utile;Tres utile;Tres utile;Tres utile;Inconnu;Tres utile;Non utilise;Inconnu;Inconnu;Tres utile
Utile;Non utilise;Non utilise;Non utilise;Pas utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Non utilise
Tres utile;Tres utile;Inconnu;Tres utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu
Tres utile;Utile;Non utilise;Tres utile;Utile;Pas utile;Pas utile;Non utilise;Non utilise;Non utilise;Utile
Tres utile;Non utilise;Pas utile;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Inconnu;Inconnu;Non utilise
Tres utile;Tres utile;Utile;Tres utile;Non utilise;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Pas utile
Tres utile;Utile;Pas utile;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Utile;Tres utile
Tres utile;Utile;Utile;Tres utile;Inconnu;Pas utile;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Inconnu;Inconnu;Non utilise;Utile
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Utile
Tres utile;Tres utile;Utile;Tres utile;Inconnu;Inconnu;Tres utile;Inconnu;Inconnu;Inconnu;Inconnu
Tres utile;Tres utile;Non utilise;Tres utile;Utile;Inconnu;Tres utile;Non utilise;Inconnu;Inconnu;Utile
Utile;Tres utile;Utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Pas utile;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Inconnu;Inconnu;Utile
